area,room,toilet,lat,long,price-VND,loai_bds-code
67,1,2,16.1061,108.13558,2010000000,0
90,0,0,15.98936,108.27118,1984000000,7
58,0,0,16.08881,108.21749,5700000000,16
75,3,3,16.07875,108.16616,3750000000,16
96,3,0,16.0143,108.19913,2550000000,9
29,2,2,16.06646,108.21932,2150000000,15
90,2,3,16.02201,108.20055,4350000000,16
90,0,0,16.0606,108.18981,2400000000,9
73,2,2,16.07143,108.15519,2200000000,15
62,3,2,16.05498,108.18677,3250000000,15
75,3,2,16.08042,108.14686,2750000000,15
111,0,0,15.99107,108.23758,2520000000,7
80,2,3,16.0558,108.22367,7760000000,14
120,2,2,16.05827,108.174,4700000000,16
125,3,4,16.07743,108.16546,6500000000,16
72,3,3,16.08253,108.16036,3650000000,16
90,2,2,16.06826,108.18784,7800000000,16
65,2,2,16.08283,108.21394,6250000000,16
65,4,4,16.06838,108.19679,2050000000,15
45,3,2,16.0606,108.18981,2580000000,15
110,0,0,15.99107,108.23758,2800000000,7
67,0,0,16.03002,108.22549,3300000000,9
70,0,0,16.03309,108.21848,4700000000,16
75,3,4,16.07191,108.17987,3950000000,15
92,0,0,16.06591,108.24193,7800000000,16
144,3,4,16.08328,108.22888,10200000000,16
61,5,6,16.06546,108.18288,7950000000,16
74,3,3,16.02978,108.20874,7900000000,16
105,3,5,16.06606,108.18659,16500000000,16
125,4,5,16.10711,108.13182,2000000000,16
85,3,2,16.01412,108.19179,3250000000,16
68,3,3,16.06433,108.19121,3450000000,15
82,0,0,16.04258,108.214,5850000000,16
120,5,4,16.09579,108.22874,12300000000,16
72,0,0,16.03847,108.21274,5200000000,16
63,4,2,16.04454,108.21522,8600000000,16
170,4,3,16.05085,108.24319,18200000000,16
81,0,0,16.08049,108.16329,3200000000,16
138,0,0,16.08061,108.21562,10900000000,16
62,3,3,16.05995,108.2118,6200000000,16
45,2,1,16.03163,108.22407,1030000000,0
160,0,0,16.04245,108.21093,13000000000,9
45,2,2,16.06505,108.21648,2680000000,15
76,3,3,16.03002,108.22549,5000000000,16
82,2,2,16.03851,108.24755,4200000000,0
78,0,0,16.06009,108.18561,6800000000,16
105,4,2,16.03851,108.24755,5252000000,0
100,3,2,16.05676,108.16851,3550000000,15
144,3,4,16.08328,108.22888,10395000000,16
60,3,4,16.03971,108.246,5050000000,15
80,0,0,16.03513,108.21985,7500000000,16
100,1,1,16.05224,108.24686,15500000000,0
100,0,0,15.98635,108.25687,1750000000,9
68,3,2,16.08061,108.21562,5500000000,16
150,0,0,16.05192,108.16724,2200000000,7
103,0,0,16.03513,108.21985,7200000000,16
56,3,3,16.08991,108.21773,5600000000,16
120,4,4,16.03346,108.23031,11000000000,16
100,0,0,16.07422,108.13483,2000000000,7
62,3,3,16.05676,108.16851,3320000000,15
92,3,2,16.07348,108.21344,4800000000,15
144,3,4,16.08328,108.22888,5200000000,16
50,2,2,16.03163,108.22407,2150000000,15
120,0,0,16.03936,108.21654,7900000000,16
100,3,2,16.03002,108.22549,4800000000,16
48,1,1,16.1061,108.13558,2880000000,1
51,3,2,16.06077,108.21365,2850000000,15
100,0,0,15.98635,108.25687,1900000000,7
123,4,4,16.05812,108.18328,9350000000,16
176,0,0,15.98635,108.25687,6500000000,7
100,0,0,15.97666,108.23353,1400000000,9
52,3,2,16.06793,108.18581,3350000000,15
50,3,3,16.04454,108.21522,3700000000,15
105,5,5,16.06606,108.18659,16500000000,16
45,1,2,16.05675,108.21713,2300000000,15
52,0,0,16.07074,108.23659,4700000000,16
110,0,0,15.98936,108.27118,2035000000,7
100,0,0,16.04883,108.21071,6500000000,16
98,0,0,15.97666,108.23353,1300000000,9
80,3,3,16.06433,108.19121,5900000000,16
90,1,1,16.08565,108.23356,4800000000,16
75,3,3,16.1061,108.13558,2990000000,1
57,3,2,16.06627,108.20857,3300000000,15
72,0,0,16.03847,108.21274,5900000000,16
75,0,0,16.03406,108.17856,3100000000,15
50,3,2,16.05515,108.21731,4200000000,15
94,0,0,16.03309,108.21848,12500000000,16
100,0,0,16.06417,108.23152,13700000000,16
100,0,0,15.97666,108.23353,1800000000,9
67,3,2,16.06756,108.20497,3390000000,15
68,0,0,16.08204,108.16108,2200000000,16
121,3,3,16.06613,108.24356,16500000000,16
100,3,2,16.05827,108.174,3800000000,16
72,0,0,16.07052,108.15031,3900000000,16
48,2,2,16.05932,108.21118,2350000000,15
60,3,2,16.06793,108.18581,2500000000,15
150,0,0,16.09512,108.13844,2200000000,7
55,2,2,15.98326,108.25256,1550000000,0
65,3,3,16.04744,108.24092,5200000000,16
162,4,5,16.09579,108.22874,13500000000,14
100,2,2,16.01412,108.19179,3150000000,16
122,4,3,15.99107,108.23758,51000000,16
75,0,0,16.08417,108.21861,3600000000,16
88,3,3,16.03163,108.22407,4700000000,16
108,2,2,16.05827,108.174,3200000000,16
72,4,4,16.08946,108.23209,5200000000,16
58,4,3,16.07371,108.21071,4000000000,16
110,3,3,16.05979,108.17044,5500000000,16
100,0,0,15.99033,108.26709,2750000000,9
81,2,1,16.06789,108.1764,1950000000,15
67,1,1,16.01282,108.17988,1700000000,15
57,2,2,16.06387,108.18914,2250000000,15
105,3,3,16.01282,108.17988,4250000000,16
71,3,3,16.06009,108.18561,4200000000,15
144,4,4,16.08328,108.22888,5100000000,16
52,3,3,16.06352,108.20856,3400000000,15
99,3,2,16.05108,108.21813,2550000000,15
76,3,4,16.03436,108.21845,6500000000,16
100,0,0,15.99388,108.23889,1400000000,9
82,3,1,16.06791,108.20152,2700000000,15
155,0,0,15.98635,108.25687,5200000000,9
120,2,2,16.05448,108.18343,2930000000,15
126,0,0,16.09227,108.23095,4890000000,9
58,0,0,16.04454,108.21522,2550000000,9
90,3,4,16.03436,108.21845,6700000000,16
92,3,3,16.03482,108.21017,8100000000,16
150,0,0,16.09591,108.13013,3250000000,7
125,0,0,16.1061,108.13558,1900000000,7
52,3,4,16.04259,108.21995,4950000000,15
62,0,0,16.07688,108.21215,3300000000,16
78,3,4,16.06529,108.21943,3850000000,15
54,1,1,16.05406,108.2194,2550000000,15
130,3,4,16.0417,108.24209,4650000000,15
25,2,2,16.08024,108.22089,1850000000,15
40,3,2,16.05448,108.18343,4100000000,16
41,3,3,16.06326,108.21063,3400000000,15
81,4,4,16.03513,108.21985,5000000000,16
85,3,2,16.0436,108.21884,7500000000,16
65,2,1,16.06433,108.19121,2950000000,15
60,2,2,16.05655,108.24693,2200000000,0
100,0,0,16.02268,108.24644,5050000000,9
47,3,2,16.0597,108.21212,2990000000,15
82,2,2,16.03851,108.24755,4150000000,0
70,1,2,16.08024,108.22089,2190000000,0
147,0,0,16.0127,108.18943,2250000000,9
100,2,1,16.0172,108.20458,2910000000,16
103,2,2,16.0698,108.18992,9000000000,16
75,0,0,16.03788,108.21496,4350000000,9
78,0,0,16.06433,108.19121,6900000000,16
125,3,4,16.09591,108.13013,5500000000,16
106,4,3,16.03851,108.24755,2500000000,1
43,3,2,16.05823,108.21715,3100000000,15
100,0,0,16.02611,108.24381,4800000000,9
125,3,4,16.09512,108.13844,6000000000,16
100,3,2,16.02617,108.24185,6150000000,16
44,0,0,16.05939,108.20823,2700000000,16
71,2,2,16.08011,108.21995,2250000000,0
85,0,0,16.03718,108.24387,2300000000,9
60,3,3,16.06018,108.16693,3200000000,15
150,0,0,16.1061,108.13558,3300000000,7
80,0,0,16.02611,108.24381,3200000000,9
53,4,3,16.06014,108.21825,3800000000,16
73,2,2,16.0598,108.23051,2400000000,0
68,0,0,16.05903,108.1873,4350000000,9
72,5,4,16.02982,108.22054,6900000000,16
70,4,3,16.06793,108.18581,7800000000,16
55,3,2,16.07048,108.20135,2590000000,15
160,0,0,16.08122,108.24407,12900000000,9
100,5,5,16.01736,108.25447,6500000000,16
43,0,0,16.06175,108.21637,4230000000,16
63,0,0,16.05939,108.20823,4000000000,16
105,0,0,16.04234,108.2074,5400000000,9
46,2,1,16.03163,108.22407,1000000000,0
31,2,2,16.06838,108.19679,2190000000,15
55,2,2,15.98326,108.25256,1550000000,0
144,3,4,16.08328,108.22888,10185000000,16
105,4,3,16.0593,108.18531,6600000000,16
100,0,0,16.03086,108.22932,5500000000,9
72,4,2,16.05676,108.16851,6192000000,16
50,3,2,16.05903,108.1873,2850000000,15
56,2,1,16.03113,108.226,4140000000,16
100,3,3,16.05026,108.17358,4300000000,16
103,0,0,15.97666,108.23353,1620000000,9
80,3,3,16.04821,108.2095,3200000000,14
162,0,0,16.05192,108.16724,1900000000,7
100,3,3,16.03851,108.24755,5296000000,0
100,0,0,16.00641,108.23998,4700000000,7
148,5,4,16.07422,108.13483,2900000000,15
80,0,0,15.99582,108.26936,3250000000,9
38,2,1,16.06838,108.19679,1650000000,15
72,4,2,16.03002,108.22549,5200000000,16
100,0,0,16.05243,108.1776,6200000000,16
74,0,0,16.03358,108.21131,5400000000,16
100,5,4,16.01707,108.19856,5000000000,16
90,3,2,16.01619,108.20124,2450000000,16
105,3,2,16.04111,108.20852,7500000000,16
25,1,1,16.05679,108.24132,500000000,4
129,0,0,16.0789,108.21699,20000000000,16
98,0,0,16.03475,108.20878,7000000000,16
150,4,4,16.02967,108.22818,20000000000,16
60,7,7,16.05271,108.24424,8500000000,16
